state_name,year,average_labor_force,average_employed,average_unemployed,average_unemployment_rate
Nevada,1977,20647.058823529413,19176.352941176472,1470.7058823529412,6.482352941176471
Nevada,1978,21941.235294117647,20941.176470588234,1000.0588235294117,4.58235294117647
Nevada,1979,23529.58823529412,22353.058823529413,1176.5294117647059,4.7823529411764705
Nevada,1980,25294.176470588234,23705.882352941175,1588.2941176470588,5.5588235294117645
Nevada,1981,27235.235294117647,25294.058823529413,1941.1764705882354,6.435294117647059
Nevada,1982,28411.882352941175,25529.470588235294,2882.4117647058824,10.852941176470589
Nevada,1983,28647.352941176472,25823.647058823528,2823.705882352941,11.23529411764706
Nevada,1984,29175.470588235294,26881.764705882353,2293.705882352941,8.523529411764706
Nevada,1985,30000.117647058825,27588.235294117647,2411.8823529411766,8.147058823529411
Nevada,1986,31294.176470588234,29411.764705882353,1882.4117647058824,6.276470588235294
Nevada,1987,32764.764705882353,30705.941176470587,2058.823529411765,6.135294117647059
Nevada,1988,34353.17647058824,32588.41176470588,1764.764705882353,4.829411764705882
Nevada,1989,35411.76470588235,33647.05882352941,1764.7058823529412,5.041176470588235
New Hampshire,1976,39899.8,37299.8,2600,6.57
New Hampshire,1977,42100,39600,2500,6
New Hampshire,1978,43799.8,42200,1599.8,3.69
New Hampshire,1979,45800.2,44400,1400.2,3.2
New Hampshire,1980,47200,45000,2200,4.96
New Hampshire,1981,48100,45700,2400,5.3100000000000005
New Hampshire,1982,48600,45000,3600,8.120000000000001
New Hampshire,1983,50300,47600,2700,5.85
New Hampshire,1984,52000,49800,2200,4.45
New Hampshire,1985,53700.2,51600.1,2100.1,3.92
New Hampshire,1986,56100,54500,1600,2.76
New Hampshire,1987,58800.2,57300.1,1500.1,2.39
New Hampshire,1988,59800.1,58300,1500.1,2.35
New Hampshire,1989,60997.9,58899,2098.9,3.25
New Jersey,1976,157444.57142857142,141011.95238095237,16432.619047619046,10.314285714285715
New Jersey,1977,160499.57142857142,145444.80952380953,15054.761904761905,9.452380952380953
New Jersey,1978,164015.19047619047,152234.95238095237,11780.238095238095,7.219047619047619
New Jersey,1979,169365.42857142858,157643.61904761905,11721.809523809523,7.061904761904762
New Jersey,1980,170526.2857142857,158206.7619047619,12319.52380952381,7.390476190476191
New Jersey,1981,170490.19047619047,158019.61904761905,12470.57142857143,7.647619047619048
New Jersey,1982,172317.90476190476,156863.2857142857,15454.619047619048,9.295238095238096
New Jersey,1983,174042.95238095237,160383.09523809524,13659.857142857143,8.31904761904762
New Jersey,1984,182305.04761904763,171060.2380952381,11244.809523809523,6.347619047619047
New Jersey,1985,183450.7142857143,173057.90476190476,10392.809523809523,5.7
New Jersey,1986,186100.04761904763,176734.95238095237,9365.095238095239,5.180952380952381
New Jersey,1987,188869.52380952382,181236.47619047618,7633.047619047619,4.219047619047619
New Jersey,1988,189270.66666666666,182078.66666666666,7192,3.947619047619048
New Jersey,1989,189972.42857142858,182198.47619047618,7773.952380952381,4.257142857142857
New Mexico,1976,14875.125,13500.125,1375,9.375
New Mexico,1977,16187.53125,14937.53125,1250,8.18125
New Mexico,1978,16937.5,15968.71875,968.78125,5.971875
New Mexico,1979,17343.9375,16218.84375,1125.09375,7.05
New Mexico,1980,17531.28125,16218.78125,1312.5,7.925
New Mexico,1981,17515.272727272728,16242.454545454546,1272.8181818181818,7.745454545454545
New Mexico,1982,18060.878787878788,16394.151515151516,1666.7272727272727,10.533333333333333
New Mexico,1983,18424.363636363636,16545.575757575756,1878.7878787878788,11.157575757575758
New Mexico,1984,19060.60606060606,17636.39393939394,1424.2121212121212,8.881818181818183
New Mexico,1985,19575.81818181818,17848.515151515152,1727.3030303030303,11.266666666666667
New Mexico,1986,20545.484848484848,18666.696969696968,1878.7878787878788,12.024242424242424
New Mexico,1987,20666.727272727272,18848.484848484848,1818.2424242424242,11.460606060606061
New Mexico,1988,20878.939393939392,19242.454545454544,1636.4848484848485,10.639393939393939
New Mexico,1989,21121.303030303032,19727.363636363636,1393.939393939394,8.766666666666667
New York,1976,123805.17741935483,111103.54838709677,12701.629032258064,10.301612903225806
New York,1977,124493.91935483871,113141.06451612903,11352.854838709678,9.361290322580645
New York,1978,126269.66129032258,116555.12903225806,9714.532258064517,7.637096774193548
New York,1979,129028.41935483871,119829.82258064517,9198.59677419355,7.056451612903226
New York,1980,128520.32258064517,118903.6129032258,9616.709677419354,7.891935483870967
New York,1981,129066.3870967742,119211.54838709677,9854.838709677419,8.004838709677419
New York,1982,128875.98387096774,117846.43548387097,11029.548387096775,9.35
New York,1983,130024.90322580645,118906.98387096774,11117.91935483871,9.370967741935484
New York,1984,130456.03225806452,121043.90322580645,9412.129032258064,7.651612903225806
New York,1985,133985.75806451612,125217.48387096774,8768.274193548386,7.091935483870968
New York,1986,135445.25806451612,126965,8480.258064516129,7.112903225806452
New York,1987,136907.88709677418,130261.74193548386,6646.145161290323,5.5112903225806456
New York,1988,137500.7258064516,131729.48387096773,5771.241935483871,4.887096774193548
New York,1989,140001.7258064516,132868.16129032258,7133.564516129032,5.841935483870968
North Carolina,1976,26160.15,24530.09,1630.06,6.682
